704 -9485
705 -8555
706 -5945
707 -9075
708 -8895
709 -8855
710 -9005
711 -8815
712 -8685
713 -8795
714 -9035
715 -9015
716 -8555
717 -8055
718 -8365
719 -8505
832 -555
833 -475
834 -535
835 -505
836 -505
837 -525
838 -515
839 -485
840 -495
841 -505
842 -505
843 -515
844 -535
845 -500
846 -445
847 -420
849 -415
850 -675
851 -715
852 -695
853 -675
854 -685
855 -665
856 -705
857 -655
858 -685
859 -665
860 -725
861 -695
862 -655
863 -635
864 -1015
865 -975
866 -985
867 -945
868 -945
869 -945
871 -935
872 -945
873 -915
874 -935
875 -895
876 -945
877 -955
878 -875
879 -875
881 -905
882 -865
883 -835
884 -855
885 -845
886 -855
887 -835
888 -855
889 -815
890 -815
891 -805
892 -865
893 -785
894 -805
895 -795
eof
