0	-137.609	2.46576
1	-117.882	2.46576
2	-100.518	2.34363
3	-146.547	2.36837
4	0	0
5	0	0
6	-146.856	2.3866
7	0	0
8	0	1
9	0	1
10	0	1
11	0	1
12	0	1
13	0	1
14	0	1
15	0	1
16	-102.659	2.34965
17	-154.04	2.59342
18	-186.866	2.65253
19	-167.05	2.60965
20	-184.356	2.66994
21	0	0
22	-159.592	2.63116
23	0	0
24	-178.914	2.55504
25	-104.482	2.67472
26	-158.624	2.67753
27	-5.79242	2.58898
28	-29.7411	2.62225
29	-111.177	2.64277
30	-31.407	2.61462
31	-32.4504	2.70207
32	0	0
33	-211.605	2.65639
34	-63.0307	2.63459
35	-112.595	2.65253
36	-197.188	2.61805
37	-104.455	2.69191
38	-167.772	2.57965
39	0	0
40	0	1
41	0	1
42	0	1
43	0	1
44	0	1
45	0	1
46	0	1
47	0	1
48	0	0
49	-29.7028	2.30142
50	-99.8929	2.32388
51	-75.9665	2.28447
52	-92.0539	2.33413
53	-64.0723	2.37207
54	0	0
55	-59.7859	2.4146
56	-92.4546	2.35466
57	-156.071	2.34144
58	-165.055	2.29736
59	-40.629	2.35499
60	-124.141	2.45867
61	-54.78	2.35466
62	-48.841	2.46576
63	-34.4188	2.3615
64	-125.108	2.43266
65	-170.314	2.53117
66	-129.052	2.4583
67	-129.191	2.47793
68	0	0
69	-134.744	2.53226
70	0	0
71	-107.158	2.49631
72	0	1
73	0	1
74	0	1
75	0	1
76	0	1
77	0	1
78	0	1
79	0	1
80	-153.961	2.30173
81	-163.869	2.30385
82	-193.922	2.31726
83	-147.021	2.31453
84	-182.94	2.32112
85	-146.07	2.29465
86	-205.21	2.32684
87	-147.771	2.3615
88	-184.168	2.34144
89	-184.298	2.34084
90	-184.992	2.37122
91	-322.978	2.3164
92	-184.653	2.31726
93	-143.435	2.48906
94	-114.976	2.36526
95	-58.3418	2.3269
96	-96.6709	2.49315
97	-70.3486	2.3482
98	0	0
99	-62.4135	2.34144
100	0	0
101	-127.926	2.41757
102	-108.021	2.48552
103	-106.498	2.40363
104	0	1
105	0	1
106	0	1
107	0	1
108	0	1
109	0	1
110	0	1
111	0	1
112	0	0
113	0	0
114	-253.314	2.31415
115	-220.094	2.3205
116	-198.491	2.31756
117	-174.315	2.32326
118	-252.183	2.29761
119	-235.557	2.31692
120	-183.553	2.32388
121	-235.557	2.31692
122	-220.094	2.3205
123	-139.258	2.3369
124	-108.404	2.351
125	-99.8193	2.38889
126	0	0
127	-80.2324	2.36837
128	-83.0389	2.44792
129	0	0
130	-130.376	2.42753
131	-208.829	2.31099
132	-111.833	2.42574
133	-173.547	2.36061
134	-227.099	2.50959
135	-231.778	2.46986
136	0	1
137	0	1
138	0	1
139	0	1
140	0	1
141	0	1
142	0	1
143	0	1
144	-269.09	2.58517
145	-300.743	2.77528
146	-229.24	2.68424
147	0	0
148	-270.016	2.58786
149	-258.019	2.84893
150	0	0
151	-314.318	2.69313
152	-284.438	2.86851
153	-255.528	2.77136
154	-270.493	2.61805
155	-255.668	2.77052
156	-280.292	2.6707
157	-222.419	2.73757
158	-167.02	2.67831
159	-234.137	2.77528
